geonameid,name,alternatenames,latitude,longitude,country code,city size
2784189,Walcourt,"['Valkur', 'Walcourt', 'wlkwr', 'Walco', 'wa er ku er', 'Walcou', ""Val'kur""]",50.25401,4.43796,BE,15000
2784548,Visé,"['Vis', 'Wezet', 'Visé', 'Vise']",50.7376,5.69907,BE,15000
2784604,Vilvoorde,"['Vilvorde', 'Vilvord', 'fei er fu er de', 'Vilvoorde', 'wylwwrd']",50.92814,4.42938,BE,15000
2784821,Verviers,"['wrwyh', 'Vervie', 'beleubie', 'Vervi', 'Verve', 'Vervia', 'Vervje', 'wei er wei ye', ""Verv'e"", 'Vervj', 'vervie', 'vueruvuie', 'Verviers', 'Verv']",50.58907,5.86241,BE,15000
2785123,Uccle,"['Jukel', 'Uccle', 'wikeul', 'Uccle/Ukkel', 'Ukel', 'Brussel (Ukkel)', 'Uccle-Ukkel', 'yu ke lei', 'Uccla', 'awkl', 'Ukkel', 'ikuru', 'xu kl', 'Bruxelles (Uccle)']",50.80225,4.33943,BE,15000
2785141,Turnhout,"['Turnaut', 'Turnkhout', 'Turnholtum', 'Turnhout', 'twrnw', 'tourunhauto', ""T'ornkhaut"", 'twileunhauteu', 'di lun hao te', 'Tjurnkhaut', 'twrnhawt']",51.32254,4.94471,BE,15000
2785169,Tubize,"['di bi ci', 'Tiubizas', 'Tjubiz', 'twibijeu', 'twbyz', 'Tubize', 'Tubeke']",50.69059,4.2009,BE,15000
2785341,Tournai,"['tourune', 'tu er nai', 'Doornyk', 'Turn', 'Tornai', 'Tornacum', 'Doornik', 'Tournay', 'Turne', 'twrnh', 'tuleune', 'twrnay', 'Turnacum', 'ZGQ', 'Tournai']",50.60715,3.38932,BE,15000
2785364,Torhout,"['Thouront', 'Thourout', 'Toeroet', 'Torkhout', 'Torkhaut', 'tuo er hao te', 'Turholt', 'trw', 'Torhout']",51.0656,3.10085,BE,15000
2785389,Tongeren,"['Atuatuca Tungrorum', 'tnzhran', 'Tongres', 'Toungern', 'tong e lun', 'tongngexrein', 'Tongerehn', 'Tungro', 'Tongerenas', 'Tongeren', 'tong-eleon', 'Tngere', 'tonheren', 'Tongere']",50.78054,5.46484,BE,15000
2785470,Tienen,"['Thienen', 'di nen', 'tienen', 'Tienen', 'tyynan', 'Thenae', 'thienen', 'Tinen', 'tirlemont', 'Tijnen', 'Tirlemont']",50.80745,4.9378,BE,15000
2785476,Tielt,"['Thielt', 'Tilt', 'Tielt', 'tylt', 'tyylt', 'di er te', 'Tijlt']",50.99931,3.32707,BE,15000
2785612,Tessenderlo,"['teseondeleullo', 'Tessenderlo', 'theis seinde xrlo', 'Tessenderloo', 'Loei', 'Tesenderlo', 'tai sen de luo', 'tsandrlw']",51.06513,5.08856,BE,15000
2785622,Tervuren,"[""Terv'oren"", 'te er fei lun', 'Tervuren', 'Tervueren', 'Tervjuren', 'trwwran']",50.82372,4.51418,BE,15000
2785778,Temse,"['Temsche', 'te mu sai', 'Temse', 'tams', 'Tamsch', 'Tamise', 'Tamse']",51.12794,4.21372,BE,15000
2786087,Stekene,['Stekene'],51.2099,4.03651,BE,15000
2786229,Stabroek,"['Stabroeck', 'Stabroek']",51.33189,4.37127,BE,15000
2786344,Soumagne,"['Somagne', 'su ma nie', ""Suman'"", 'Suman', 'swmny', 'Soumagne']",50.61385,5.74679,BE,15000
2786420,Soignies,"['Soignies', 'Sougniye', 'swynyh', ""Suan'i"", 'Zinnik', ""Suan'e"", 'Soani']",50.57904,4.07129,BE,15000
2786545,Sint-Truiden,"['Sinttreidena', 'Sint-Truudn', 'Saint Truiden', 'Sint Truijen', 'Sint-Trjojden', 'Sint Treidens', 'sant trwnd', 'Oppidum Sancti Trudonis', 'sinteuteulawideon', 'sint-tery dein', 'Sent-Trden', 'Sint Trojden', 'Sankt-Trond', 'Saint-Trond', 'Sintruin', 'Sint Treidenas', 'shinto=toroiden', 'sheng te lei deng', 'Sint-Trond', 'Sint-Trejden', 'snt trwydn', 'Sint-Truiden', 'Sent-Trueden', 'Sint-Trjujden']",50.81679,5.18647,BE,15000
2786559,Sint-Pieters-Leeuw,"['Sint Pijters Leu', '  ', 'Leeuw-Saint-Pierre', 'sn-pywth-lyw', 'Ieus', 'Sin Piters Leuv', 'sheng bi de si-lai wu', 'Sint-Piters-Leuv', 'Sint-Pieters-Leeuw', '--']",50.77926,4.24355,BE,15000
2786578,Sint-Niklaas,"['Sint-Niklas', 'Sint-Niklaas', 'Saint-Nicolas']",51.16509,4.1437,BE,15000
2786634,Sint-Kruis,"['Sainte-Croix', 'Saint Kruis', 'Sint-Kruis']",51.21399,3.24949,BE,15000
2786641,Sint-Katelijne-Waver,"['  - ', 'Sint Katelejne - Vaver', 'Wavre-Sainte-Catherine', 'sn-ktwlyzhnwywh', 'Sint Katelijne Waver', 'Sint-Katelijne-Waver', 'Sint-Kathelijne-Waver', 'sheng ka te lai na-wa fu er']",51.06691,4.53469,BE,15000
2786694,Sint-Gillis-Waas,"['Saint-Gilles-Waes', 'Sint-Gillis-Waas', 'Saint-Gillis-Waas']",51.21914,4.12374,BE,15000
2786700,Sint-Genesius-Rode,"['Rhode-Saint-Genese', 'Rhode-Saint-Gense', 'Sint-Genesius-Rode']",50.74645,4.35754,BE,15000
2786739,Sint-Andries,"['Saint-Andre', 'Saint-Andries', 'Sint-Andries', 'Saint-Andr']",51.19696,3.17891,BE,15000
2786743,Sint-Amandsberg,"['Saint-Amandsberg', 'Mont-Saint Amand', 'Sint-Amandsberg']",51.05947,3.74943,BE,15000
2786824,Seraing,"['Sere', 'Ser', 'selaeng', 'srn', 'Serenas', 'Seraing', 'Seren', 'sex rng', 'Serranius', 'se lan', 'seran']",50.58362,5.50115,BE,15000
2786963,Schoten,"['Schooten', 'shwtan', 'Skhoten', 'Schoten', 'si huo teng']",51.25251,4.50268,BE,15000
2787048,Schilde,"['Schilde', ""Shil'de""]",51.24107,4.58336,BE,15000
2787149,Schaerbeek,"['seuhaleubeikeu', 'shyrbyk', 'Scarbeca', 'Schaerbeek - Schaarbeek', 'Schaerbeek', 'arbeko', 'Schaerbeek/Schaarbeek', 'ska rbek', 'sukarubeku', 'Schaerbeek-Schaarbeek', 'si ha er bei ke', 'sharbyk', 'Schaarbeek', 'Skharbek', 'Sarbeko']",50.86935,4.37737,BE,15000
2787356,Saint-Nicolas,"['Sankt-Nikola', 'Sart Saint-Nicolas', 'Sint-Niklaas', 'Saint-Nicolas']",50.62837,5.53243,BE,15000
2787387,Saint-Josse-ten-Noode,"['Nauda Sancti Iudoci', 'Brussel (Sint-Joost-ten-Node)', 'Bruxelles (Saint-Josse-ten-Noode)', 'sheng ruo si-teng-nuo de', '---', 'Sint Jost ten Node', 'Sint-Joost-ten-Node', 'Saint-Josse-ten-Noode', 'saengjoseutangnodeu', 'san=josu=tan=nodo', 'sn-zhws-tan-nwd', '   ', 'Saint-Josse-ten-Noode - Sint-Joost-ten-Node', '--', 'Sen-Zhoss-ten-Node', 'Saint-Josse-ten-Noode/Sint-Joost-ten-Node']",50.8538,4.37282,BE,15000
2787413,Saint-Gilles,"['Sen Zhil', 'Sint-Djile-dile-Brussele', 'Sint-Gillis-Obbrussel', 'Saint-Gilles - Sint-Gillis', 'sheng ji er', ""Sen-Zhil'"", 'Saint-Gilles', 'saengjil', 'Sint-Gillis', '- ', 'Sint Gilis', 'Sint-Djle-dil-Brussele', 'san=jiru', 'sn-zhyl', 'Saint-Gilles/Sint-Gillis']",50.82763,4.34389,BE,15000
2787416,Saint-Ghislain,"['sn-gyzln', 'Sen-Gilen', 'Sen Gislen', 'sheng ji si lan', 'Saint-Ghislain', 'Sankt-Gilene']",50.44816,3.81886,BE,15000
2787662,Rotselaar,"['Rotselaar', 'luo ce la er', 'Rotselaer', 'rwtswlr', 'Rotselar']",50.95302,4.71665,BE,15000
2787769,Ronse,"['rnz', 'Renaix', 'Ronse', 'Rotnacum', 'long sai', 'Rinais']",50.74574,3.6005,BE,15000
2787889,Roeselare,"['Roeselare', 'Roselare', 'Ruselare', 'lusellale', 'rsl', 'Ruselar', 'ruserare', 'Roulers', 'Roeselare vald', 'Rouselare', 'Rousselaere', 'lu se la lei', 'rwslarh', 'Roesselaere', 'Roeselave', 'Russelaers', 'Roeseloare']",50.94653,3.12269,BE,15000
2787989,Rixensart,"['Rixensart', 'Ricsinsat', 'li ke sang sa er', 'Riksensart', 'Riksansar', 'Ricsinst', 'ryksansr']",50.71229,4.52529,BE,15000
2788088,Riemst,"['Riempst', 'Riemst']",50.80995,5.60131,BE,15000
2788348,Ranst,['Ranst'],51.18983,4.56533,BE,15000
2788499,Quaregnon,"[""Karen'on"", 'krwnywn', 'Cargnon', 'Quaregnon', 'Couargnon']",50.44067,3.8653,BE,15000
2788506,Puurs,"['Puurs', 'pwr', 'pi er si', 'Puers', 'Pjurs']",51.07409,4.28844,BE,15000
2788521,Putte,['Putte'],51.05337,4.63263,BE,15000
2788726,Poperinge,"['pprnzh', 'Poperinge', 'Poperinghe', 'bo po ling e', 'Poperienge']",50.85386,2.72659,BE,15000
2788765,Pont-à-Celles,"['  ', 'Pont a Sel', 'Pont-à-Celles', ""Pont-a-Sel'"", '--', 'pwn-a-sl']",50.50518,4.36887,BE,15000
2789162,Péruwelz,"['Perw-e-Hinnot', 'prwwlz', 'Pirw', 'Perwe-e-Hinnot', 'Perjuvelz', 'Péruwelz', 'Pierwe', ""Perjuvel'z""]",50.50819,3.59373,BE,15000
2789232,Peer,['Peer'],51.1303,5.45952,BE,15000
2789413,Overijse,"['Overijase', 'Overijsche', 'awryzhz', 'ao gang lai ze', 'Overijse', 'Overyssche', 'Overejse']",50.77436,4.53461,BE,15000
2789471,Oupeye,"['Oupeye', 'Opye', 'Upe', 'Upej', 'awpyy', 'wu pei']",50.71184,5.6468,BE,15000
2789529,Oudenaarde,"['Oudenaarde', 'Oudenarde', 'Audenarde', 'Oudenoarde', 'awdnrd', 'Aldenarda', 'Oudenaerde', 'Ontenarnt', 'audenarude', 'Audenaarde', 'ao de na er de', 'Oldenardum', 'audenaleudeo', 'Aldenardum']",50.85168,3.60891,BE,15000
2789751,Oostkamp,"['Ostkamp', 'ostkamp', 'awztkam', 'ao si te kan pu', 'Oostkamp', 'Oostcamp']",51.15432,3.23128,BE,15000
2789786,Ostend,"['Oostenn', 'Oostende', 'Ostende', 'Ostendo', 'Ostend', 'awstndh', 'oseutendeo', 'osutende', 'astent', 'Ostenda', 'OST', 'ao si teng de']",51.21551,2.927,BE,15000
2790101,Nivelles,"[""Nivel'"", 'ni wei er', 'nywl', 'Nivele', 'Nivelles', 'Nivel', 'Nijvel']",50.59833,4.32848,BE,15000
2790114,Ninove,"['nynw', 'ni nuo fu', 'Ninove', 'Outer']",50.82776,4.02657,BE,15000
2790135,Nijlen,"['Nylen', 'Nijlen']",51.16096,4.67008,BE,15000
2790357,Neerpelt,['Neerpelt'],51.22807,5.4427,BE,15000
2790471,Namur,"['Namr', 'namu r', 'Namen', 'Nameur', 'Namuer', 'Namyr', 'Namurcum', 'Namur', 'na mu er', 'Namir', 'Namuro', 'namyuru', 'Namyur', 'Namiras', 'nmwr  blzhyk', 'Name', 'QNM', 'namwileu', 'Namra', 'Namouer', 'namwr', 'Namiuras', 'Namjur', 'Namira']",50.4669,4.86746,BE,15000
2790595,Mouscron,"['Muskron', 'Moucron', 'musukuron', 'Mukronas', 'Muskrono', 'museukeulong', 'MWW', 'Moeschroen', 'Moeskroen', 'Musera', 'mwzkrwn', 'Mouscron', 'Moeschron']",50.74497,3.20639,BE,15000
2790676,Mortsel,"['Mortensella', 'mo ce er', 'mrtzl', 'Mortsel']",51.16697,4.45127,BE,15000
2790697,Morlanwelz-Mariemont,"['Mariemont', 'Morlanwelz-Mariemont', 'Morlanwelz']",50.45502,4.24519,BE,15000
2790796,Montignies-sur-Sambre,"['Charleroi (Montignies-sur-Sambre)', 'Montignies-sur-Sambre', 'Montignies']",50.41081,4.49109,BE,15000
2790869,Mons,"['mwns', 'Monsa', 'Mon', 'Bergn', 'mamsa', 'Montes', 'Berge', 'mongseu', 'Mons', 'mwn', 'mons', 'monsu', 'Mont', 'meng si', 'Bergen', 'Monsas', 'Castrilocus', 'mngs', 'bergen']",50.45413,3.95229,BE,15000
2791018,Molenbeek-Saint-Jean,"['Molenbeek-Saint-Jean/Sint-Jans-Molenbeek', 'Bruxelles (Molenbeek-Saint-Jean)', 'Sint-Jans-Molenbeek', 'Brussel (Sint-Jans-Molenbeek)', 'Molenbeek-Saint-Jean', 'Molenbeek-Saint-Jean - Sint-Jans-Molenbeek']",50.8499,4.31248,BE,15000
2791067,Mol,"['mwl  bljyka', 'Moll', 'mwl', 'Mol', 'Moli vald', 'mo er', 'mol']",51.19188,5.11662,BE,15000
2791194,Middelkerke,"['Midelkerke', 'mydlkrk', 'mi de er ke er ke', 'Middelkerke Bains', 'Middelkerke', 'Middelkerke-Baden']",51.18532,2.82077,BE,15000
2791301,Merksem,"['Merksem', 'Antwerpen (Merksem)', 'Merxem']",51.24623,4.44903,BE,15000
2791315,Merelbeke,"['Meirelbeke', 'Merelbeke', 'mei lei er bei ke', 'mwrlbwk']",50.99447,3.74621,BE,15000
2791343,Menen,"['Mjeenn', 'Meenn', 'mnn', 'Menn', 'Menen', 'Meenen', 'Menin', 'mei nen']",50.79722,3.12245,BE,15000
2791424,Meise,"['Meysse', 'Mejse', 'Meise', 'mz', 'mai ze']",50.93934,4.32655,BE,15000
2791534,Mechelen-aan-de-Maas,"['Mechelen', 'Maasmechelen (Mechelen-aan-de-Maas)', 'Mechelen-aan-Maas', 'Mechelen-aan-de-Maas']",50.96589,5.69144,BE,15000
2791537,Mechelen,"['me khexlein', 'ZGP', 'Mechelen-aan-de-Maas', 'Mechelenas', 'Malines', 'Mechlinae', 'Mecheln', 'Meleno', 'Mehleno', 'mechelin', 'Machlina', 'Mechelen', 'mshlan', 'mechelen', 'Mechele', 'Mechlinia', 'Mechelen-Bovelingen', 'mkln', 'Mekhelen', 'meheren', 'Mechlin', 'Marlinne', 'Malinas', 'mehellen', 'mei he lun']",51.02574,4.47762,BE,15000
2791700,Mariakerke,['Mariakerke'],51.07476,3.68289,BE,15000
2791726,Marcinelle,"['Charleroi (Marcinelle)', 'Marcinele', 'Mrcinele', 'Marcinelle']",50.39216,4.44388,BE,15000
2791735,Marchienne-au-Pont,"['Marciene', 'Charleroi (Marchienne-au-Pont)', 'Mrciene', 'Marchienne-au-Pont']",50.40573,4.3953,BE,15000
2791744,Marche-en-Famenne,"['Marsh an Famen', 'Marche-en-Famenne', 'Marca in Falmana', 'Matche-el-Famene', 'maleusyuangpamen', '  ', ""marushu=an=famen'nu"", 'Marsh-an-Famen', '--', 'fa mei en de qu ma er shen', 'Marche', 'Mtche-el-Fmene']",50.22678,5.34416,BE,15000
2791814,Manage,"['Manadje', 'Manazh', 'Manage', 'mnzh']",50.50312,4.23589,BE,15000
2791857,Maldegem,"['Maldegem', 'Donk', 'mldwzhm', 'ma er de hai mu', ""Mal'degem"", 'Moaldegem', 'Donck']",51.20737,3.44511,BE,15000
2791961,Maasmechelen,"['masumeheren', 'mas me khexlein', 'Maasmekhelene', 'masmykhylyn', 'Masmekhelen', 'ma si mei he lun', 'Mechele', 'Maasmekhelen', 'myamshlan', 'Maasmechelen', 'Massmechelen']",50.96545,5.69452,BE,15000
2791964,Maaseik,"['maseikeu', 'ma sik', 'ma sai ke', 'Mezeik', 'Maaseik', 'masaiku', 'mazk', 'Maeseyck', 'Maaseick', 'masayk', 'Maasejk']",51.09802,5.78379,BE,15000
2792073,Louvain-la-Neuve,"['Li Nou Loven', 'Novum Lovanium', 'ruvuan=ra=nuvu', 'Louvain-la-Neuve', 'Li No Lovn', 'Luven-la-Nev', '--', 'Ottignies-Louvain-la-Neuve (Louvain-la-Neuve)']",50.66829,4.61443,BE,15000
2792179,Lommel,"['luo mo er', 'Lommel', 'lom meil', 'lml', 'Lomel', 'lwml', 'Lomelis']",51.23074,5.31349,BE,15000
2792196,Lokeren,"['luo ke lun', 'lwkrn', 'Lokerenas', 'Lokeren']",51.10364,3.99339,BE,15000
2792235,Lochristi,"['lwkrysty', 'Loochristi', 'Lokhristi', 'Lochristi', 'luo ke li si di', 'Loochristy']",51.09644,3.83194,BE,15000
2792360,Lille,"['Lille  Antwerpen  Belgi', 'Lille  Antwerpen  Belgie', 'Lille']",51.24197,4.82313,BE,15000
2792397,Lier,"['Lir', 'Lier', 'Lyras', 'li er', 'Lierre', 'riru', 'lileu', 'Lijr', ""L'er"", 'lyr']",51.13128,4.57041,BE,15000
2792413,Liège,"['Lija', 'Luuk', 'Ljez', 'Lieja', 'Ljezas', 'Leodicum', 'Liez', 'lyyj', 'Leodium', 'lyzh', 'lie ri', 'liezhi', 'Liege', 'Liex', 'Luttich', ""L'ezh"", 'LGG', 'Suguru', 'Lidje', 'Lutych', 'Liegi', 'lieju', 'lyj', 'Ljeza', 'lyyz', 'Liego', 'Luik', 'Liezh', 'Liège', 'Lck', 'rieju', 'Lttich', 'Leck', 'Leodic', 'Lieo', 'Lige', 'Lje', 'Sguru', 'Lodic', 'Lijezh', 'lija', 'Luettich', 'Ljeas', 'Lja']",50.63373,5.56749,BE,15000
2792482,Leuven,"['Leuve', 'Loewen', 'Louvain', 'Louvain-la-Neuve', 'Loveno', 'Leouben', 'Leuven', 'Lovanium', ""L'oven"", 'Lovanio', 'Lwen', 'revuen', 'lu wen', 'Lovaina', 'Ljoven', 'ruvuen', 'Lovan', 'Lova', 'ZGK', 'Luven']",50.87959,4.70093,BE,15000
2792567,Lessines,"['Lessen', 'lsyn', 'Lessin', 'Lessines', 'lai xi en', 'Lesin']",50.71104,3.83579,BE,15000
2793077,Lede,['Lede'],50.96626,3.98594,BE,15000
2793144,Lebbeke,['Lebbeke'],51.00464,4.13457,BE,15000
2793446,Lanaken,"['Lanaken', 'Lanaeken']",50.89318,5.6468,BE,15000
2793508,La Louvière,"['La Luvjeras', ""La-Luv'er"", 'El Lovire', 'La Luvjer', 'La Louviere', 'la lu wei ye er', 'Luparia', 'lalubieleu', 'la lwwyr', 'Luvier', 'La Louvire', 'La Louvière', 'Louvierre']",50.48657,4.18785,BE,15000
2794055,Kortrijk,"['Kortryk', 'Cortrique', 'Cortoriacum', 'KJK', 'korutoreiku', 'Kortreikas', 'kortrejk', 'ke te lai ke', 'Kortreik', 'Contrai', 'Kortrehjk', 'Curturiacum', 'Kortrejk', 'Courtrai', 'kwrtryk', 'Kortrejko', 'qwrtryyq', 'Kortrijk', 'Cortracum', 'khxrth rikh', 'koleuteuleikeu', 'Kortrajk', 'Kortrik', 'Kortreika']",50.82803,3.26487,BE,15000
2794070,Kortenberg,"['Cortenberg', 'kwrtanbrg', 'Kortenberg', 'ke teng bei he']",50.88982,4.54353,BE,15000
2794117,Kontich,"['Kontich', 'kong di he', 'Kontikh', 'kwntyk', 'Condacum', 'Contich']",51.13213,4.44706,BE,15000
2794166,Koksijde,"['Koksijdo', 'Koksyde', 'Koksejde', 'ke ke sai de', 'kwksyzhd', 'Koksijde', 'Coxyde']",51.11642,2.63772,BE,15000
2794179,Koersel,"['Coursel', 'Beringen (Koersel)', 'Koersel']",51.05909,5.27121,BE,15000
2794190,Koekelberg,"['kukelbeleuheu', 'Kukelberg', 'kokuruberu', 'ku ke er bei er he', ""Kukel'berg"", 'kwykwlbrg', 'Brussel (Koekelberg)', 'Koekelberg', 'Bruxelles (Koekelberg)', 'Kockelberg']",50.86117,4.33136,BE,15000
2794210,Knokke-Heist,"['kunokku=heisuto', 'Knokke-Heist', 'keunokeoheiseuteu', 'ke nuo ke-hai si te', 'Knocke', 'Knokkne', 'Noke-Khajst', 'knwkyst', 'Knokke-Khejst', 'Knokke', 'Knoke-Khajst']",51.35,3.26667,BE,15000
2794507,Kessel-Lo,"['Leuven (Kessel-Lo)', 'Kessel-Lo', 'Kessel-Loo']",50.88549,4.73717,BE,15000
2794663,Kasterlee,"['Casterle', 'Kasterlee']",51.24118,4.96651,BE,15000
2794730,Kapellen,"['Kapelle Meersen', 'Kapellen', 'Kapelen', 'Kapellene', 'Cappellen', 'ka pei lun', 'kpwlan', 'Kapelle']",51.31377,4.43539,BE,15000
2794788,Kalmthout,"['Calmpthout', 'Kalmthout']",51.38442,4.47556,BE,15000
2794860,Jumet,"['Djumet', 'Jumet', 'Charleroi (Jumet)']",50.4422,4.43745,BE,15000
2794914,Jette,"['zht', 'Jette', 'jeteu', 're te', 'Bruxelles (Jette)', 'jetto', 'Brussel (Jette)', 'jyty', 'Jete', 'Zhet']",50.87309,4.33419,BE,15000
2794981,Jambes,"['Namur (Jambes)', 'jmbs', 'Djambe', 'Jambes']",50.45636,4.87166,BE,15000
2795009,Izegem,"['Izzegem', 'Izegem', 'Iseghem', 'ayzzhm', 'Yzegem', 'Yseghem', 'yi ze hai mu']",50.91396,3.21378,BE,15000
2795011,Ixelles,"['Bruxelles (Ixelles)', ""Iksel'"", 'Ixelles-Elsene', 'Ixelles/Elsene', 'Ixelles - Elsene', 'Elsene', 'Ixelles', 'Brussel (Elsene)', 'ikuseru', 'ayksl', 'yi ke sai er', 'Iksel', 'igsel']",50.83333,4.36667,BE,15000
2795100,Ieper,"['yi po er', 'Ipr', 'Ypres', 'Ieper', 'Ipra', 'Ypry', 'Ypras', 'Iepern', 'iperu', 'yprys', 'aypr', 'Ypr', 'Ypern', 'Ypra', 'Yprae', 'Iper', 'Yper', 'ipeoleu', 'Ipro']",50.85114,2.88569,BE,15000
2795113,Huy,"['Jui', 'Hoei', 'Hu', 'yui', 'Huy', 'awyy', 'huy', 'hoei', 'hwy', 'yu yi']",50.51894,5.23284,BE,15000
2795261,Houthalen,"['Houthalen-Helchteren (Houthalen)', 'Houthaelen', 'Houthalen', 'Houthaelenberg']",51.03427,5.37429,BE,15000
2795398,Hoogstraten,"['awgstrtan', 'Khogstraten', 'hwkhstratn', 'Hoogstraten', 'huo he si te la teng', 'Hoogstraeten']",51.40029,4.76034,BE,15000
2795730,Hoboken,"['Hoboken', 'Antwerp (Hoboken)', 'Hoboken-lez-Anvers']",51.17611,4.34844,BE,15000
2795783,Heverlee,"['Heverle', 'Leuven (Heverlee)', 'Heverlee']",50.86426,4.69597,BE,15000
2795795,Heusy,"['Heusy', 'Verviers (Heusy)']",50.57457,5.86618,BE,15000
2795800,Heusden,"['Heusden-Zolder (Heusden)', 'Heusden']",51.03664,5.28013,BE,15000
2795908,Herzele,['Herzele'],50.88681,3.89014,BE,15000
2795912,Herve,"['Ehrv', 'arw', 'Herf', 'he er fu', 'Herve', 'Erv']",50.64083,5.79353,BE,15000
2795930,Herstal,"['Kherstal', 'arstal', 'eleuseutal', 'erusutaru', 'Herstal', 'Hesta', 'Erstal', 'he er si ta er', ""Ehrstal'"", 'Heristalium', 'Herstalis']",50.66415,5.62346,BE,15000
2796009,Herentals,"['he lun ta er si', 'Herentals', 'arantl', 'Kherentals', 'Herenthals']",51.17655,4.83248,BE,15000
2796012,Herent,"['hai lun te', 'aran', 'Herent', 'Kherent']",50.90861,4.67056,BE,15000
2796132,Helchteren,"['Helchteren', 'Houthalen-Helchteren (Helchteren)']",51.05591,5.38244,BE,15000
2796153,Heist-op-den-Berg,"['Khejst op den Berg', 'Heyst-op-den-Berg', 'Khajst op den Berg', 'hai si te ao pu deng bei er he', '   ', 'aystwp-dan-brg', '--', 'Heist-op-den-Berg']",51.07537,4.72827,BE,15000
